T_s_r,T_s_w,V_s_r,V_s_w,H_s_w,C_4KB_r,C_2MB_r,C_MMIO_r,V_m_r,H_m_w,C_4KB_w,C_2MB_w,C_MMIO_w,V_m_w,H_m_rw,C_4KB_rw,C_2MB_rw,C_MMIO_rw,V_m_rw,C_4KB_x,C_2MB_x,C_MMIO_x,V_m_x,category,cpu,mem_freq,window_start,window_end
9718374.4,1829751.4666666666,457862990184259.5,2328265770409893.0,0.6602584998942554,0,0,0,1.0406029317876369e+18,0.003558829542598976,227,0,0,1.0937209794677491e+17,0.6904821211124328,105,0,0,1.6926235072364554e+19,0,0,0,4.1368403079530185e+19,AESCrypt,celeron-gen6,1600,1686709281.3438923,1686709311.3438923
10651528.533333333,9426073.6,505187317402335.44,2519046594120970.5,0.9263115475667034,0,0,0,1.260526680013841e+17,0.011081780496851622,396,0,0,2.2681813734400154e+17,0.7498408264942322,7,0,0,1.4709236071490018e+16,0,0,0,,AESCrypt,celeron-gen6,1600,1686709311.3438923,1686709341.3438923
12716219.733333332,11078075.733333332,375309363882098.7,2008308096332393.2,0.9533995247289211,0,0,0,8.7920491896298e+16,0.009855569456313985,429,0,0,1.8875947808034544e+17,0.8454975745890525,23,0,0,3.6469280889850854e+18,0,0,0,1.951549203988083e+16,AESCrypt,celeron-gen6,1600,1686709341.3438923,1686709371.3438923
18603281.066666666,18597683.2,259909442715598.53,1351689939147746.8,0.9638181272269131,0,0,0,7.503096883491472e+16,0.009227167481135506,539,0,0,2.1442903021678746e+17,0.7561580366501995,20,0,0,6.097736448629514e+18,0,0,0,0,AESCrypt,celeron-gen6,1600,1686709371.3438923,1686709401.3438923
11198361.6,13533115.733333332,371281213436679.2,949540195826501.5,0.9555264745695741,0,0,0,1.6665679374234595e+17,0.01142691190583683,485,0,0,5.937006896359885e+17,0.8398387010687726,48,0,0,4.038928756841714e+16,0,0,0,0,AESCrypt,celeron-gen6,1600,1686709401.3438923,1686709431.3438923
12257024.0,11703944.533333333,319613239249736.5,826416661627989.0,0.9649667672883333,2,0,0,3.034776180828944e+17,0.014146544481699006,542,0,0,8.964421998697207e+17,0.8738356324676806,19,0,0,6.1978797979259224e+16,0,0,0,0,AESCrypt,celeron-gen6,1600,1686709431.3438923,1686709461.3438923
15030988.8,5805858.133333334,587396410070021.4,2348683300878950.5,0.8471685996488417,1,0,0,1.1008360124370214e+18,0.004551809942617219,320,0,0,1.2690959997394294e+17,0.7773498748228623,76,0,0,2.2272946303154364e+19,0,0,0,3.937918872779691e+19,AESCrypt,celeron-gen6,1600,1686709628.000891,1686709658.000891
16570299.733333332,16027886.933333334,391218166833221.5,2100152425255528.0,0.941523678554563,0,0,0,5.412758229714893e+16,0.007380082037288747,409,0,0,1.1023587887646707e+17,0.7540926311098123,11,0,0,3.8717056201447153e+18,0,0,0,0,AESCrypt,celeron-gen6,1600,1686709658.000891,1686709688.000891
11725909.333333334,11628288.0,353385854364622.3,1476049641447912.2,0.9547435002035369,0,0,0,3.596952697507863e+16,0.011894833005243887,497,0,0,1.9814993600748276e+16,0.7685977153765977,27,0,0,4.47429773647202e+16,0,0,0,1.46699059480712e+16,AESCrypt,celeron-gen6,1600,1686709688.000891,1686709718.000891
19064268.8,17858918.4,293245206884076.6,1052585541711592.2,0.959380519229989,0,0,0,1.0569998360494411e+17,0.0076301935249054875,429,0,0,3.0533164713862995e+17,0.6171980237481878,20,0,0,2.6544964222251184e+19,0,0,0,0,AESCrypt,celeron-gen6,1600,1686709718.000891,1686709748.000891
17235319.466666665,18229998.933333334,405128679678588.0,983079350200372.1,0.955130042315468,1,0,0,1.0484615042776352e+17,0.004833427403848079,386,0,0,3.154279198332686e+17,0.7277980056369676,15,0,0,1.006069533910166e+19,0,0,0,,AESCrypt,celeron-gen6,1600,1686709748.000891,1686709778.000891
18161459.2,15699950.933333334,400781451343684.06,1505601458929770.0,0.9470891702751203,6,0,0,1.1150319686599462e+17,0.0036492273883549043,361,0,0,3.06899082987316e+17,0.7951067657514383,16,0,0,5.202859175134873e+18,0,0,0,1.0554086055433542e+17,AESCrypt,celeron-gen6,1600,1686709778.000891,1686709808.000891
