T_s_r,T_s_w,V_s_r,V_s_w,H_s_w,C_4KB_r,C_2MB_r,C_MMIO_r,V_m_r,H_m_w,C_4KB_w,C_2MB_w,C_MMIO_w,V_m_w,H_m_rw,C_4KB_rw,C_2MB_rw,C_MMIO_rw,V_m_rw,C_4KB_x,C_2MB_x,C_MMIO_x,V_m_x,category,cpu,mem_freq,window_start,window_end
10081877.333333334,18886161.066666666,735680509810825.4,2107466014628235.0,0.8613169686084603,4,0,0,2.5274609646194703e+18,0.01068841708786331,978,0,0,4.985300615031952e+18,0.7834302119293474,95,0,0,3.8210828373576884e+19,0,0,0,4.583226802526479e+19,AESCrypt_Conti,i3-gen12,2133,1709184275.1159647,1709184305.1159647
6291541.333333333,9189444.266666668,621535406539698.4,2814299236958016.5,0.7535156170487858,2,0,0,4.5240254635199955e+17,0.008107568930080463,696,0,0,3.5555609400326944e+17,0.5263604052156742,62,0,0,2.34804462679446e+19,0,0,0,9.065682707662831e+17,AESCrypt_Conti,i3-gen12,2133,1709184305.1159647,1709184335.1159647
12146534.4,11192985.6,838815109215086.9,2397673019074402.5,0.778006642317142,3,0,0,7.968168516436462e+17,0.012176059871492905,982,0,0,5.895289337949732e+17,0.7855883498152325,21,0,0,7.220624085616915e+17,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709184335.1159647,1709184365.1159647
7455095.466666667,12312166.4,766868620243837.9,3085790035462618.5,0.8292317183753348,2,0,0,6.86295320544221e+17,0.010656875606035749,814,0,0,5.915899306619738e+17,0.5678943050710364,16,0,0,5.0548914724299645e+19,0,0,0,1.9509214989963274e+18,AESCrypt_Conti,i3-gen12,2133,1709184365.1159647,1709184395.1159647
8486485.333333334,10803882.666666666,1024577425172984.1,2548650139757763.5,0.7827798180946144,7,0,0,8.568093434531615e+17,0.011843095186079724,903,0,0,7.643358889931133e+17,0.6339787152301388,11,0,0,1.8364630991541273e+19,0,0,0,3.94993446469731e+18,AESCrypt_Conti,i3-gen12,2133,1709184395.1159647,1709184425.1159647
9431756.8,12201369.6,1295561075712935.0,2376653800691868.0,0.7927134716857193,4,0,0,8.971673134385866e+17,0.008089418827513926,694,0,0,6.13445535792944e+17,0.5299722671068956,30,0,0,3.0600217906420875e+19,0,0,0,20371344.5,AESCrypt_Conti,i3-gen12,2133,1709184425.1159647,1709184455.1159647
10630690.133333333,25687091.2,781056241611148.9,2171927721038365.8,0.8209670962647404,3,0,0,2.1111287529562455e+18,0.0069442373321626375,906,0,0,5.466688283921158e+18,0.7777056785821544,71,0,0,3.398059469410086e+19,0,0,0,4.144120513645097e+19,AESCrypt_Conti,i3-gen12,2133,1709185126.1232724,1709185156.1232724
8589755.733333332,16536985.6,818500313739383.8,2631078012985398.5,0.8177914473328193,4,0,0,2.1726108218895648e+17,0.007635561266300013,748,0,0,8.741880996098157e+16,0.5819464991551208,15,0,0,2.8333614699309146e+19,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709185156.1232724,1709185186.1232724
6363306.666666667,8919944.533333333,654712596195071.2,2260147812222257.5,0.7980590518167742,7,0,0,2.1189852142580323e+17,0.011404300688835599,751,0,0,1.3293035815579942e+17,0.4716532929393702,36,0,0,1.2201649897394958e+19,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709185186.1232724,1709185216.1232724
7174075.733333333,9679701.333333334,756075685809127.0,2648634267277448.5,0.7852674015769658,2,0,0,3.929099339432705e+17,0.012494268482568328,832,0,0,2.9020431970269766e+17,0.5176248451836485,25,0,0,5.053628043560913e+19,0,0,0,9.872997548822435e+17,AESCrypt_Conti,i3-gen12,2133,1709185216.1232724,1709185246.1232724
7800268.8,9680401.066666666,890855463448393.9,2429463417911264.5,0.7892594757207319,7,0,0,1.1486167223156991e+18,0.013033101305455652,860,0,0,1.1208684222477956e+18,0.6089194484121324,23,0,0,2.9114098126386627e+19,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709185246.1232724,1709185276.1232724
6332194.133333334,10987776.0,1440791546679681.2,2120915107437441.5,0.8355265983805643,2,0,0,7.806760378403718e+17,0.007558376714017342,503,0,0,8.609956422137012e+17,0.7063886063826481,31,0,0,2.7263552413858545e+18,0,0,0,1.3818343391459817e+19,AESCrypt_Conti,i3-gen12,2133,1709185276.1232724,1709185306.1232724
23839146.666666668,23454464.0,539115741833361.06,1428932577684906.0,0.8533393637936162,1,0,0,1.520530483225473e+18,0.005547470510622803,742,0,0,6.469472716421038e+17,0.5937519865317857,39,0,0,1.2748375963646122e+19,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709185306.1232724,1709185336.1232724
14392507.733333332,22720529.066666666,768640189453241.6,2464187212247953.0,0.7816536877091115,5,0,0,1.7400573331431347e+18,0.004297017861975708,640,0,0,4.630750888108997e+18,0.7477250114115565,103,0,0,3.3684670307861656e+19,0,0,0,4.015422203436706e+19,AESCrypt_Conti,i3-gen12,2133,1709185571.0358973,1709185601.0358973
7451255.466666667,10216772.266666668,1298308379908535.8,2851602859357292.5,0.7894501966859343,3,0,0,4.569137905946136e+17,0.008104298662874475,584,0,0,2.906005210410627e+17,0.5270402315437369,17,0,0,3.3572794518318854e+19,0,0,0,,AESCrypt_Conti,i3-gen12,2133,1709185601.0358973,1709185631.0358973
8900693.333333334,13398306.133333333,990114881986229.1,2747547958695305.0,0.8143950404143739,1,0,0,4.4910721742614464e+17,0.009257867685906451,746,0,0,3.296331202224016e+17,0.5943008150869331,9,0,0,6.96498288249869e+19,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709185631.0358973,1709185661.0358973
7837286.4,8677307.733333332,1200241050386939.8,2569619231560688.0,0.7833235582514761,4,0,0,1.5621436147945774e+18,0.01287124790296275,818,0,0,1.3992270005520937e+18,0.46762107209965675,29,0,0,1.9114943966417e+19,0,0,0,280750208.0,AESCrypt_Conti,i3-gen12,2133,1709185661.0358973,1709185691.0358973
6252595.2,8443357.866666667,966830668362444.4,2445410504852545.0,0.8101998337017168,4,0,0,1.9042930366824617e+18,0.011522236005201924,681,0,0,1.7680514567806968e+18,0.5802549204890485,16,0,0,3.5050860703346156e+19,0,0,0,1.5060667848838164e+19,AESCrypt_Conti,i3-gen12,2133,1709185691.0358973,1709185721.0358973
16568695.466666667,17097898.666666668,813671109665227.6,2333313287842578.0,0.8041714506357583,3,0,0,1.422582441619639e+18,0.006099971874110451,695,0,0,8.654989627969432e+17,0.5699319944172,24,0,0,1.3979155367742446e+19,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709185721.0358973,1709185751.0358973
7024008.533333333,22336034.133333333,824123912856823.2,2151893197735465.0,0.8286694962608722,6,0,0,2.4149988648209014e+18,0.007037148773742165,774,0,0,6.337075695047584e+18,0.6879792136081934,65,0,0,3.509504638451679e+19,0,0,0,4.978097502763385e+19,AESCrypt_Conti,i3-gen12,2133,1709186650.2185543,1709186680.2185543
6385834.666666667,7867682.133333334,1486180152820518.5,2115056291575308.2,0.808631820213857,4,0,0,5.179982389063123e+17,0.00964613102745788,550,0,0,5.0548289279601837e+17,0.7882409031172085,68,0,0,5.76707302631119e+18,0,0,0,1.572237916232398e+18,AESCrypt_Conti,i3-gen12,2133,1709186680.2185543,1709186710.2185543
10536243.2,10657706.666666666,1679912340404140.0,2680670886488369.5,0.8170948853424134,3,0,0,8.078573854284614e+17,0.011050606183531451,697,0,0,5.605048831223108e+17,0.5947437928240386,12,0,0,3.3738619529168056e+19,0,0,0,,AESCrypt_Conti,i3-gen12,2133,1709186710.2185543,1709186740.2185543
5439470.933333334,7791633.066666666,1011098226903344.0,2821224439469628.0,0.7881361079728262,5,0,0,5.796798530838077e+17,0.012642711965420134,755,0,0,7.951660963644077e+17,0.4687305334520553,20,0,0,3.7920001100572434e+19,0,0,0,1.90913733322418e+16,AESCrypt_Conti,i3-gen12,2133,1709186740.2185543,1709186770.2185543
7948561.066666666,8854971.733333332,1007264531454942.6,2580618011691179.0,0.7581621462507969,1,0,0,6.208889587113284e+17,0.008732622059248844,656,0,0,5.837765491704471e+17,0.7074556404419646,17,0,0,2.5984881838160196e+19,0,0,0,2.083866682658128e+19,AESCrypt_Conti,i3-gen12,2133,1709186770.2185543,1709186800.2185543
6372539.733333333,8751633.066666666,901607576972482.8,2527641930058133.0,0.777230713633714,2,0,0,8.9067010753683e+17,0.011546244150793855,712,0,0,8.530337529829851e+17,0.7061016083250268,12,0,0,2.5855870925439554e+19,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709186800.2185543,1709186830.2185543
6527880.533333333,16229393.066666666,864436854000930.5,2192251419059637.2,0.8334932185068182,0,0,0,3.109573417304976e+18,0.008228437227465068,678,0,0,8.391499747843795e+18,0.7788891560347301,80,0,0,3.955467929327421e+19,0,0,0,4.8803223202628985e+19,AESCrypt_Conti,i3-gen12,2133,1709187025.9505744,1709187055.9505744
8088337.066666666,9028983.466666667,1550024403880601.8,2726900808925932.5,0.7806088004716808,1,0,0,5.981913700679488e+17,0.008918962918949246,655,0,0,4.172586374052762e+17,0.6541641469755208,40,0,0,4.1579255703376904e+19,0,0,0,5.515231436674497e+17,AESCrypt_Conti,i3-gen12,2133,1709187055.9505744,1709187085.9505744
9718118.4,10605943.466666667,1023370691492569.5,2677143182919924.5,0.7920581702911461,1,0,0,6.962462884162143e+17,0.009935699180955736,720,0,0,5.1996231520734106e+17,0.6612147132570745,11,0,0,3.916408323345956e+19,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709187085.9505744,1709187115.9505744
7254442.666666667,10233361.066666666,783226650296005.0,3095466156602742.5,0.8150384165740219,1,0,0,6.751296289783735e+17,0.01192248564998319,832,0,0,7.09919432206527e+17,0.662583962431622,27,0,0,2.440819363289163e+19,0,0,0,1.979312583443381e+18,AESCrypt_Conti,i3-gen12,2133,1709187115.9505744,1709187145.9505744
7916390.4,11230190.933333334,1018846698839755.1,2374630332143322.0,0.8088788394803658,5,0,0,8.555404217650446e+17,0.009681599807705691,738,0,0,6.647061813092172e+17,0.5739885759596685,15,0,0,1.5262074247199212e+19,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709187145.9505744,1709187175.9505744
5847040.0,7617996.8,977740544511954.0,2555606074601886.0,0.7732718566298192,3,0,0,7.635565210624014e+17,0.01004883895596611,619,0,0,7.644455631836152e+17,0.6583131210023386,18,0,0,5.791515752128656e+18,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709187175.9505744,1709187205.9505744
16997819.733333334,31472896.0,821573304048386.5,2305221197428942.0,0.8074597386038289,5,0,0,1.4274843291798646e+18,0.004816760861212438,889,0,0,2.623454707675438e+18,0.7606097644652028,104,0,0,3.1891875879143567e+19,0,0,0,4.0022153344483934e+19,AESCrypt_Conti,i3-gen12,2133,1709187375.6832523,1709187405.6832523
10904183.466666667,15856264.533333333,1427067473096433.8,2666967812172006.5,0.8084685212065893,6,0,0,6.768660716258744e+17,0.010447333558265593,913,0,0,5.846276098409061e+17,0.5520330420886864,23,0,0,4.795101444846278e+19,0,0,0,4.98346563644384e+18,AESCrypt_Conti,i3-gen12,2133,1709187405.6832523,1709187435.6832523
9252795.733333332,10722338.133333333,1426806285143795.2,2143796360419627.8,0.8095580756116019,3,0,0,1.556691092217568e+18,0.009191933797929286,727,0,0,4.0069615966444283e+18,0.6224119733786765,18,0,0,3.622281898234245e+19,0,0,0,2670048458684662.5,AESCrypt_Conti,i3-gen12,2133,1709187435.6832523,1709187465.6832523
6502126.933333334,9158758.4,1154312567744071.5,2484389335949185.0,0.7583328048175991,6,0,0,1.778025048127054e+18,0.011969928373062823,851,0,0,1.8981197626365217e+18,0.7070461719638713,13,0,0,3.673083713069037e+18,0,0,0,5468528672534884.0,AESCrypt_Conti,i3-gen12,2133,1709187465.6832523,1709187495.6832523
7734766.933333334,9515690.666666666,1095077418041302.0,2580709875760406.5,0.7687423782132002,6,0,0,8.515699949685809e+17,0.008323453264835289,613,0,0,7.275304499932312e+17,0.5671401895842759,34,0,0,2.404732375216508e+19,0,0,0,,AESCrypt_Conti,i3-gen12,2133,1709187495.6832523,1709187525.6832523
8335291.733333333,17350877.866666667,758565618637360.6,2155546536440624.0,0.8337625334439019,6,0,0,3.1589315952464527e+18,0.008629891001876572,722,0,0,5.622630130831342e+18,0.7683410516935673,63,0,0,3.4192798222596866e+19,0,0,0,4.097242527080341e+19,AESCrypt_Conti,i3-gen12,2133,1709187745.0024407,1709187775.0024407
8040806.4,9825058.133333333,1205487261980783.8,3250204700212064.0,0.7575526420938873,1,0,0,3.899783867520333e+17,0.010993679676639655,770,0,0,2.733343464717934e+17,0.658227621346348,57,0,0,3.375041161405311e+19,0,0,0,,AESCrypt_Conti,i3-gen12,2133,1709187775.0024407,1709187805.0024407
10764817.066666666,10205764.266666668,1218105409827503.2,2336914268645163.0,0.7786407276618589,7,0,0,3.9771799436232294e+17,0.009306763031563282,787,0,0,3.034629034695124e+17,0.6795964855484655,28,0,0,1.496190932447212e+19,0,0,0,9.709338775479621e+17,AESCrypt_Conti,i3-gen12,2133,1709187805.0024407,1709187835.0024407
7136477.866666666,10742425.6,942181416909171.0,2769764589498694.0,0.812982629921449,2,0,0,5.073353276484915e+17,0.010181517172052006,700,0,0,3.9486920239074797e+17,0.6237786624719944,12,0,0,2.2790932410846012e+16,0,0,0,4.2372035087674696e+18,AESCrypt_Conti,i3-gen12,2133,1709187835.0024407,1709187865.0024407
9461708.8,9519411.2,830341513726152.2,2835964137102647.0,0.8083147326268733,2,0,0,1.3404149837651162e+18,0.01279460644414645,894,0,0,1.1511361076454751e+18,0.47759907100560306,24,0,0,5.061022015951822e+19,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709187865.0024407,1709187895.0024407
7240499.2,10949376.0,882731370840865.2,2285217112233800.0,0.8109988898394079,3,0,0,1.8094187829526804e+18,0.00969225259798837,764,0,0,1.4651364614997125e+18,0.5431530472037465,16,0,0,2.251918512789655e+19,0,0,0,34877952.0,AESCrypt_Conti,i3-gen12,2133,1709187895.0024407,1709187925.0024407
14742493.866666667,24647492.266666666,716722707698425.6,2429154039594510.5,0.7466837099587627,2,0,0,3.052621474187734e+18,0.004766313483327352,834,0,0,2.960973666557392e+18,0.7213708521902187,89,0,0,4.789340477755379e+19,0,0,0,3.55816891730541e+19,AESCrypt_Conti,i3-gen12,2133,1709188111.1126773,1709188141.1126773
11959586.133333333,15167163.733333332,1508876522240161.5,2679213942976844.5,0.8050751501590732,9,0,0,1.8671863709978154e+17,0.00882615575791519,847,0,0,1.5337946240817053e+17,0.7061447542296228,19,0,0,5.348970789149054e+19,0,0,0,4.368582583862279e+17,AESCrypt_Conti,i3-gen12,2133,1709188141.1126773,1709188171.1126773
7525358.933333334,9710387.2,1221121570554564.5,2304352625254748.5,0.7831917519041952,0,0,0,2.2799086238343994e+17,0.01021921118015775,799,0,0,2.045352867270234e+17,0.5427152470565031,18,0,0,6.311065642478503e+19,0,0,0,,AESCrypt_Conti,i3-gen12,2133,1709188171.1126773,1709188201.1126773
9607133.866666667,12274841.6,682135256337144.4,2631353252964342.5,0.7866138018867431,3,0,0,5.779511542875864e+17,0.011753929981902557,941,0,0,4.805201527890616e+17,0.5125384354818586,24,0,0,3.1798412846957666e+19,0,0,0,0,AESCrypt_Conti,i3-gen12,2133,1709188201.1126773,1709188231.1126773
