T_s_r,T_s_w,V_s_r,V_s_w,H_s_w,C_4KB_r,C_2MB_r,C_MMIO_r,V_m_r,H_m_w,C_4KB_w,C_2MB_w,C_MMIO_w,V_m_w,H_m_rw,C_4KB_rw,C_2MB_rw,C_MMIO_rw,V_m_rw,C_4KB_x,C_2MB_x,C_MMIO_x,V_m_x,category,cpu,mem_freq,window_start,window_end
8095129.6,2429337.6,1070713598856794.8,1085063948317120.2,0.724550362765693,2,0,0,3.256148592208454e+18,0.008871152158385855,610,0,0,7.642447889995522e+18,0.714568333916892,45,0,0,3.177815127296058e+19,0,0,0,5.039374809525965e+19,Conti_01,i3-gen12,2133,1708934966.6306326,1708934996.6306326
14194039.466666667,8374732.8,582473278473568.0,593698423220586.6,0.8422480456934929,2,0,0,2.993485751545692e+17,0.00975935813339212,728,0,0,2.505624976764438e+17,0.7134977570045413,33,0,0,1.0568706865648515e+19,0,0,0,,Conti_01,i3-gen12,2133,1708934996.6306326,1708935026.6306326
24449928.533333335,12602231.466666667,271980532294853.2,846314536926182.1,0.9377679676043247,3,0,0,9.22706476717188e+17,0.009914769492365486,711,0,0,3.610792990323517e+17,0.7052911592416308,56,0,0,2.839088842887413e+19,0,0,0,0.0,Conti_01,i3-gen12,2133,1708935026.6306326,1708935056.6306326
21194137.6,21000755.2,379553566296506.4,482436766661127.25,0.9595237657607097,3,0,0,7.891594148839891e+17,0.010798808146748384,819,0,0,4.651493158797084e+17,0.609568519050175,35,0,0,2.3908142437852983e+19,0,0,0,1.7856120947286712e+19,Conti_01,i3-gen12,2133,1708935056.6306326,1708935086.6306326
25936366.933333334,20240264.533333335,411175820530052.9,598532709927929.2,0.9560470359497812,1,0,0,1.1735026999735089e+18,0.009987575726765428,825,0,0,5.5396679835027475e+17,0.5672632921786906,17,0,0,2.8884923192156414e+19,0,0,0,0,Conti_01,i3-gen12,2133,1708935086.6306326,1708935116.6306326
21371665.066666666,20081220.266666666,397947352280636.75,676647969246381.5,0.9580622542707956,0,0,0,1.3778439405021353e+18,0.009172983012218526,721,0,0,7.090642437595235e+17,0.5163205194526962,44,0,0,2.144987905144774e+19,0,0,0,,Conti_01,i3-gen12,2133,1708935116.6306326,1708935146.6306326
9346372.266666668,4163464.533333333,983463069572733.9,1078150905198464.8,0.7826951740602519,0,0,0,2.8715216173716183e+18,0.0071819182343648945,566,0,0,3.3557929761717914e+18,0.7612853479487304,70,0,0,4.118080614020174e+19,0,0,0,5.022779997580825e+19,Conti_01,i3-gen12,2133,1708935790.8905272,1708935820.8905272
10870630.4,6888277.333333333,617347689873867.4,535796119723341.06,0.8666450361214291,4,0,0,3.84727315530124e+17,0.008968852941183048,600,0,0,2.7366000961594218e+17,0.7393129226629575,45,0,0,1.494499259314128e+19,0,0,0,6.027255163204774e+18,Conti_01,i3-gen12,2133,1708935820.8905272,1708935850.8905272
15545361.066666666,10953847.466666667,376549904215366.9,790081797059117.1,0.9474857630297931,1,0,0,8.913628155522281e+17,0.012794761971890325,695,0,0,5.062447602734879e+18,0.7440356504867334,67,0,0,2.1397374243304767e+19,0,0,0,,Conti_01,i3-gen12,2133,1708935850.8905272,1708935880.8905272
20994986.666666668,14883754.666666666,307227647849628.4,444416505967987.4,0.9592410475407395,1,0,0,1.0317643749962262e+18,0.012515592357292068,771,0,0,5.4578408499123494e+17,0.550192191422672,57,0,0,3.63561231241416e+19,0,0,0,0,Conti_01,i3-gen12,2133,1708935880.8905272,1708935910.8905272
